iter	Passed	Remaining
0	580	579606
1	581	289949
2	582	193474
3	584	145453
4	585	116450
5	585	97075
6	586	83229
7	587	72848
8	588	64772
9	588	58308
10	589	53034
11	590	48638
12	591	44909
13	592	41711
14	593	38941
15	593	36516
16	594	34375
17	595	32472
18	596	30782
19	598	29323
20	599	27942
21	600	26685
22	601	25533
23	601	24478
24	602	23504
25	603	22606
26	604	21773
27	605	21004
28	605	20284
29	606	19612
30	607	18982
31	608	18392
32	608	17838
33	609	17321
34	610	16830
35	612	16388
36	612	15953
37	613	15537
38	614	15141
39	615	14765
40	616	14408
41	616	14068
42	617	13743
43	618	13436
44	619	13144
45	620	12868
46	621	12600
47	622	12343
48	623	12099
49	624	11864
50	627	11671
51	628	11452
52	629	11241
53	630	11038
54	631	10843
55	632	10653
56	632	10471
57	633	10295
58	634	10126
59	635	9961
60	636	9802
61	637	9649
62	638	9500
63	639	9356
64	641	9230
65	642	9095
66	643	8963
67	644	8833
68	645	8708
69	646	8585
70	647	8467
71	648	8353
72	649	8242
73	650	8134
74	651	8031
75	652	7929
76	653	7829
77	654	7731
78	655	7640
79	656	7551
80	657	7460
81	658	7372
82	658	7280
83	659	7195
84	660	7114
85	661	7033
86	662	6952
87	663	6874
88	664	6798
89	665	6724
90	665	6652
91	666	6580
92	667	6509
93	668	6440
94	668	6372
95	670	6313
96	671	6251
97	672	6187
98	672	6124
99	673	6063
100	674	6003
101	675	5944
102	675	5886
103	676	5830
104	677	5777
105	678	5724
106	679	5672
107	680	5621
108	681	5571
109	682	5522
110	683	5474
111	686	5439
112	687	5393
113	687	5347
114	688	5301
115	689	5257
116	690	5211
117	691	5168
118	692	5126
119	693	5084
120	694	5043
121	695	5002
122	696	4963
123	697	4924
124	698	4886
125	700	4857
126	701	4819
127	702	4782
128	702	4746
129	703	4709
130	704	4673
131	705	4638
132	706	4604
133	707	4570
134	707	4536
135	708	4502
136	709	4468
137	710	4437
138	711	4406
139	712	4375
140	713	4345
141	715	4321
142	716	4292
143	717	4263
144	718	4234
145	718	4205
146	719	4177
147	720	4149
148	721	4121
149	722	4093
150	723	4065
151	723	4038
152	724	4011
153	725	3985
154	726	3958
155	726	3933
156	727	3907
157	728	3884
158	729	3859
159	730	3835
160	731	3809
161	731	3785
162	732	3762
163	733	3739
164	734	3716
165	735	3693
166	735	3670
167	736	3647
168	737	3625
169	738	3603
170	738	3581
171	739	3560
172	740	3540
173	741	3519
174	742	3498
175	744	3484
176	745	3464
177	745	3444
178	746	3425
179	747	3405
180	748	3385
181	749	3366
182	749	3347
183	750	3328
184	751	3309
185	752	3291
186	752	3272
187	753	3254
188	754	3237
189	755	3219
190	756	3202
191	756	3185
192	757	3169
193	758	3152
194	759	3135
195	760	3119
196	761	3103
197	763	3090
198	763	3075
199	764	3059
200	765	3044
201	766	3029
202	767	3013
203	768	2997
204	769	2983
205	770	2967
206	770	2952
207	771	2939
208	773	2927
209	774	2912
210	775	2898
211	775	2883
212	776	2869
213	777	2854
214	778	2840
215	778	2826
216	779	2812
217	780	2798
218	781	2785
219	781	2772
220	782	2758
221	783	2745
222	784	2733
223	785	2719
224	786	2709
225	787	2698
226	788	2685
227	789	2672
228	790	2660
229	790	2647
230	791	2635
231	792	2622
232	793	2610
233	793	2599
234	794	2587
235	795	2576
236	796	2564
237	797	2552
238	798	2541
239	799	2530
240	800	2520
241	801	2511
242	802	2500
243	803	2488
244	804	2477
245	804	2466
246	805	2455
247	806	2444
248	806	2433
249	807	2423
250	808	2412
251	809	2401
252	809	2391
253	810	2380
254	811	2370
255	812	2360
256	813	2351
257	814	2341
258	815	2332
259	816	2322
260	816	2313
261	817	2303
262	818	2293
263	819	2283
264	819	2274
265	820	2264
266	821	2255
267	822	2246
268	823	2237
269	824	2228
270	825	2219
271	826	2210
272	827	2202
273	827	2193
274	828	2184
275	829	2176
276	830	2168
277	831	2159
278	832	2151
279	833	2142
280	833	2133
281	834	2124
282	835	2116
283	836	2107
284	836	2099
285	837	2091
286	838	2083
287	840	2076
288	841	2069
289	842	2061
290	843	2054
291	844	2048
292	845	2041
293	846	2033
294	847	2025
295	849	2019
296	850	2012
297	851	2005
298	852	1998
299	853	1991
300	854	1984
301	855	1977
302	856	1970
303	857	1962
304	858	1955
305	859	1950
306	860	1942
307	861	1935
308	862	1928
309	863	1920
310	863	1913
311	864	1906
312	865	1898
313	865	1891
314	866	1885
315	867	1878
316	868	1871
317	869	1864
318	870	1857
319	871	1851
320	871	1844
321	872	1837
322	874	1832
323	875	1826
324	875	1819
325	876	1812
326	877	1806
327	878	1800
328	879	1793
329	880	1787
330	881	1781
331	882	1775
332	883	1768
333	884	1762
334	885	1756
335	886	1750
336	886	1744
337	889	1742
338	890	1736
339	891	1730
340	892	1723
341	892	1717
342	893	1711
343	894	1705
344	895	1700
345	896	1693
346	896	1687
347	897	1681
348	898	1675
349	899	1670
350	900	1664
351	900	1658
352	901	1652
353	902	1647
354	903	1641
355	904	1635
356	905	1630
357	905	1624
358	906	1618
359	907	1612
360	908	1607
361	909	1602
362	910	1597
363	911	1591
364	911	1586
365	912	1580
366	913	1575
367	914	1570
368	915	1564
369	915	1559
370	917	1555
371	918	1550
372	919	1545
373	919	1539
374	920	1534
375	921	1529
376	922	1524
377	923	1519
378	923	1513
379	924	1508
380	925	1503
381	926	1498
382	927	1493
383	927	1488
384	928	1483
385	929	1478
386	930	1473
387	932	1470
388	933	1466
389	934	1461
390	936	1458
391	937	1453
392	938	1449
393	939	1444
394	940	1440
395	940	1435
396	941	1430
397	942	1425
398	943	1420
399	943	1415
400	944	1410
401	945	1406
402	946	1402
403	947	1397
404	948	1393
405	949	1388
406	950	1384
407	950	1379
408	952	1375
409	952	1371
410	953	1366
411	954	1362
412	955	1357
413	955	1353
414	956	1348
415	957	1344
416	958	1339
417	958	1335
418	959	1330
419	960	1326
420	962	1323
421	963	1319
422	964	1315
423	964	1310
424	965	1306
425	966	1302
426	967	1297
427	967	1293
428	968	1289
429	969	1284
430	969	1280
431	970	1276
432	971	1272
433	972	1268
434	973	1264
435	974	1260
436	976	1257
437	977	1254
438	978	1250
439	979	1246
440	980	1242
441	981	1238
442	981	1234
443	982	1230
444	983	1226
445	984	1222
446	985	1219
447	986	1215
448	987	1211
449	987	1207
450	989	1204
451	990	1200
452	991	1196
453	991	1192
454	992	1189
455	993	1185
456	994	1181
457	995	1177
458	995	1173
459	996	1169
460	997	1166
461	998	1162
462	998	1158
463	999	1154
464	1000	1150
465	1001	1147
466	1001	1143
467	1002	1139
468	1003	1136
469	1005	1133
470	1006	1129
471	1006	1126
472	1007	1122
473	1008	1118
474	1009	1115
475	1009	1111
476	1010	1108
477	1011	1104
478	1012	1101
479	1013	1098
480	1014	1094
481	1015	1091
482	1016	1087
483	1017	1084
484	1018	1081
485	1020	1078
486	1021	1075
487	1022	1072
488	1023	1069
489	1024	1065
490	1025	1062
491	1026	1059
492	1027	1056
493	1027	1052
494	1028	1049
495	1029	1046
496	1030	1043
497	1031	1039
498	1032	1036
499	1033	1033
500	1034	1030
501	1035	1026
502	1036	1023
503	1036	1020
504	1037	1017
505	1038	1014
506	1039	1011
507	1040	1007
508	1041	1004
509	1041	1001
510	1042	997
511	1043	994
512	1044	991
513	1045	988
514	1045	984
515	1046	981
516	1047	978
517	1048	975
518	1049	972
519	1050	969
520	1051	966
521	1051	963
522	1052	960
523	1053	957
524	1054	953
525	1055	950
526	1055	947
527	1056	944
528	1058	942
529	1059	939
530	1060	936
531	1061	933
532	1063	931
533	1064	929
534	1065	926
535	1066	923
536	1067	920
537	1068	917
538	1068	914
539	1069	911
540	1070	908
541	1071	905
542	1072	902
543	1073	900
544	1074	897
545	1075	894
546	1076	891
547	1077	888
548	1078	886
549	1079	883
550	1080	880
551	1081	877
552	1082	874
553	1082	871
554	1083	868
555	1084	865
556	1085	862
557	1086	860
558	1087	857
559	1088	854
560	1088	852
561	1089	849
562	1090	846
563	1091	843
564	1093	842
565	1094	839
566	1095	836
567	1096	833
568	1097	831
569	1097	828
570	1098	825
571	1099	822
572	1100	819
573	1100	817
574	1101	814
575	1102	811
576	1103	808
577	1104	806
578	1104	803
579	1105	800
580	1108	799
581	1109	796
582	1110	794
583	1111	791
584	1112	789
585	1113	786
586	1114	783
587	1114	781
588	1115	778
589	1116	775
590	1117	773
591	1117	770
592	1118	767
593	1119	765
594	1119	762
595	1120	759
596	1123	758
597	1124	755
598	1125	753
599	1126	750
600	1127	748
601	1128	746
602	1129	743
603	1130	741
604	1131	738
605	1132	736
606	1133	733
607	1133	730
608	1134	728
609	1135	725
610	1136	723
611	1137	721
612	1138	718
613	1139	716
614	1140	713
615	1142	711
616	1142	709
617	1143	707
618	1144	704
619	1145	702
620	1146	699
621	1147	697
622	1148	694
623	1149	692
624	1150	690
625	1152	688
626	1153	686
627	1154	683
628	1155	681
629	1156	679
630	1157	676
631	1158	674
632	1159	672
633	1160	669
634	1160	667
635	1161	664
636	1162	662
637	1163	660
638	1164	657
639	1164	655
640	1166	653
641	1167	650
642	1167	648
643	1168	646
644	1169	643
645	1170	641
646	1171	638
647	1171	636
648	1172	634
649	1173	631
650	1174	629
651	1174	627
652	1175	624
653	1176	622
654	1177	619
655	1177	617
656	1178	615
